date,currency,rate
1999-03-03,KRW,1339.26
1999-03-03,NOK,8.6475
1999-03-03,NZD,2.0567
1999-03-03,PLN,4.337
1999-03-03,SEK,8.99
1999-03-03,SGD,1.8907
1999-03-03,USD,1.0899
1999-03-03,ZAR,6.7883
1999-03-04,AUD,1.7494
1999-03-04,CAD,1.6609
1999-03-04,CHF,1.5883
1999-03-04,CZK,37.518
1999-03-04,DKK,7.4344
1999-03-04,GBP,0.6759
1999-03-04,HKD,8.4176
1999-03-04,HUF,254.62
1999-03-04,JPY,133.92
1999-03-04,KRW,1346.04
1999-03-04,NOK,8.6155
1999-03-04,NZD,2.067
1999-03-04,PLN,4.3093
1999-03-04,SEK,8.96
1999-03-04,SGD,1.8855
1999-03-04,USD,1.0866
1999-03-04,ZAR,6.7798
1999-03-05,AUD,1.7329
1999-03-05,CAD,1.6489
1999-03-05,CHF,1.5912
1999-03-05,CZK,37.283
1999-03-05,DKK,7.4324
1999-03-05,GBP,0.6737
1999-03-05,HKD,8.3959
1999-03-05,HUF,253.16
1999-03-05,JPY,133.19
1999-03-05,KRW,1345.31
1999-03-05,NOK,8.58
1999-03-05,NZD,2.0498
1999-03-05,PLN,4.249
1999-03-05,SEK,8.9355
1999-03-05,SGD,1.8727
1999-03-05,USD,1.0834
1999-03-05,ZAR,6.7342
1999-03-08,AUD,1.7348
1999-03-08,CAD,1.6527
1999-03-08,CHF,1.5933
1999-03-08,CZK,37.603
1999-03-08,DKK,7.4322
1999-03-08,GBP,0.6776
1999-03-08,HKD,8.449
1999-03-08,HUF,250.51
1999-03-08,JPY,132.77
1999-03-08,KRW,1349.46
1999-03-08,NOK,8.5785
1999-03-08,NZD,2.0413
1999-03-08,PLN,4.2568
1999-03-08,SEK,8.948
1999-03-08,SGD,1.8821
1999-03-08,USD,1.0908
1999-03-08,ZAR,6.7119
1999-03-09,AUD,1.7125
1999-03-09,CAD,1.6447
1999-03-09,CHF,1.5931
1999-03-09,CZK,37.967
1999-03-09,DKK,7.4329
1999-03-09,GBP,0.6754
1999-03-09,HKD,8.4209
1999-03-09,HUF,250.34
1999-03-09,JPY,132.45
1999-03-09,KRW,1342.52
1999-03-09,NOK,8.5605
1999-03-09,NZD,2.0354
1999-03-09,PLN,4.2702
1999-03-09,SEK,8.938
1999-03-09,SGD,1.8817
1999-03-09,USD,1.0863
1999-03-09,ZAR,6.678
1999-03-10,AUD,1.7237
1999-03-10,CAD,1.6607
1999-03-10,CHF,1.6014
1999-03-10,CZK,37.94
1999-03-10,DKK,7.433
1999-03-10,GBP,0.6746
1999-03-10,HKD,8.4851
1999-03-10,HUF,252.83
1999-03-10,JPY,131.74
1999-03-10,KRW,1350.15
1999-03-10,NOK,8.5435
1999-03-10,NZD,2.0461
1999-03-10,PLN,4.3142
1999-03-10,SEK,8.8925
1999-03-10,SGD,1.895
1999-03-10,USD,1.0953
1999-03-10,ZAR,6.7498
1999-03-11,AUD,1.7144
1999-03-11,CAD,1.6586
1999-03-11,CHF,1.5972
1999-03-11,CZK,37.833
1999-03-11,DKK,7.4327
1999-03-11,GBP,0.6694
1999-03-11,HKD,8.4418
1999-03-11,HUF,252.87
1999-03-11,JPY,131
1999-03-11,KRW,1339.97
1999-03-11,NOK,8.501
1999-03-11,NZD,2.0368
1999-03-11,PLN,4.305
1999-03-11,SEK,8.831
1999-03-11,SGD,1.8912
1999-03-11,USD,1.0891
1999-03-11,ZAR,6.7279
1999-03-12,AUD,1.7247
1999-03-12,CAD,1.6658
1999-03-12,CHF,1.5975
1999-03-12,CZK,37.99
1999-03-12,DKK,7.4327
1999-03-12,GBP,0.6686
1999-03-12,HKD,8.4693
1999-03-12,HUF,253.34
1999-03-12,JPY,130.8
1999-03-12,KRW,1348.53
1999-03-12,NOK,8.5285
